ncessch,school_name,lea_name,school_type,school_level,charter,magnet,suspension_rate,counselors_per_student,counselor_quartile,pct_black,pct_hispanic,pct_white,pct_frp_lunch,enrollmentwhite,enrollment,free_lunch,pct_free_lunch,reduced_price_lunch,pct_rp_lunch,frp_lunch,students_oos_suspension,student_suspension_rate,suspensions_instances,homicide_ind,rape_incidents,sexual_battery_incidents,robbery_w_weapon_incidents,robbery_w_firearm_incidents,robbery_no_weapon_incidents,attack_w_weapon_incidents,attack_w_firearm_incidents,attack_no_weapon_incidents,threats_w_weapon_incidents,threats_w_firearm_incidents,threats_no_weapon_incidents,possession_firearm_incidents,num_incidents,incident_rate,counselors_fte,social_workers_fte,socialworkers_per_student,pct_students_oos_suspension,enrollment_by_1000
420087907523,Executive Education Academy Charter Scho,Executive Education Academy Charter School,Regular school,K-12,1,0,.5071851,.25359255,3,17.83601,74.13356,5.8326287,100,69,1183,1183,100,0,0,1183,5,.42265427,6,0,0,0,0,0,0,0,0,18,0,1,5,0,19,1.6060863,3,0,0,.42265427,1.183
420088007543,Propel CS - Hazelwood,Propel CS - Hazelwood,Regular school,Elementary,1,0,50.505051,.33670035,3,81.144783,4.7138047,4.0404038,77.104378,12,297,229,77.104378,0,0,229,68,22.895622,150,0,0,0,0,0,0,2,0,,0,0,0,0,,,1,0,0,22.895622,.29699999
420088207549,Hill House Passport Academy Charter Scho,Hill House Passport Academy Charter School,Regular school,High School,1,0,0,.7352941,4,95.588234,0,3.6764705,4.4117646,5,136,5,3.6764705,1,.7352941,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.13600001
420088307561,Arts Academy Elementary Charter School,Arts Academy Elementary Charter School,Regular school,Elementary,1,0,0,.24390244,2,20,59.512196,15.609756,99.268295,64,410,407,99.268295,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.41
420088407552,Young Scholars of McKeesport Charter Sch,Young Scholars of McKeesport Charter School,Regular school,Elementary,1,0,0,.58139533,4,84.302322,.58139533,9.8837214,100,17,172,172,100,0,0,172,112,65.11628,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1.1627907,1,0,0,65.11628,.17200001
420088507564,Vision Academy Charter School,Vision Academy Charter School,Regular school,Elementary,1,0,1.4705882,.36764705,4,92.279411,2.9411764,2.9411764,79.779411,8,272,199,73.161766,18,6.6176472,217,22,8.0882349,4,0,0,0,0,0,0,0,0,10,0,0,0,0,10,3.6764705,1,0,0,8.0882349,.27200001
420088607568,KIPP DuBois Charter School,KIPP DuBois Charter School,Regular school,High School,1,0,35.619049,0,1,96.761902,2.6666667,0,,0,525,,,,,,126,24,187,0,0,0,0,0,1,0,0,0,0,6,0,0,7,1.3333334,0,1,.19047619,24,.52499998
420088807590,KIPP West Philadelphia CS,KIPP West Philadelphia CS,Regular school,Elementary,1,0,.51813471,0,1,98.445595,1.5544041,0,98.96373,0,193,191,98.96373,0,0,191,1,.51813471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.51813471,.51813471,.193
420088907599,Mastery CS John Wister Elementary,Mastery CS John Wister Elementary,Regular school,Elementary,1,0,0,0,1,92.65873,5.15873,0,99.80159,0,504,503,99.80159,0,0,503,107,21.230158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,.73412699,21.230158,.50400001
420089007574,Provident CS,Provident CS,Regular school,Elementary,1,0,27.205883,.7352941,4,36.029411,0,55.882355,38.970589,76,136,50,36.764706,3,2.2058823,53,13,9.5588236,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.5588236,.13600001
